Actiune, Data
Situatia unui elev, 2021/04/26 15:14:21
Cea mai mare medie dintr-un liceu, 2021/04/26 15:14:36
Numarul total de absente ale unui elev, 2021/04/26 15:14:50
Top n cei mai buni elevi dintr-o clasa, 2021/04/26 15:15:02
Afisare media unui liceu, 2021/04/26 15:41:13
Cea mai mare medie dintr-o clasa dintr-un liceu, 2021/04/26 15:41:20
Cea mai mare medie dintr-un liceu, 2021/04/26 15:41:28
Numarul total de absente ale unui elev, 2021/04/26 15:41:37
Top n cei mai buni elevi dintr-o clasa, 2021/04/26 15:41:47
Top n cei mai bunielevi dintr-un liceu, 2021/04/26 15:41:59
Situatia unui elev, 2021/04/27 14:09:35
Detalii despre o clasa, 2021/04/27 14:10:10
Informatii despre elevii dintr-un liceu, 2021/04/27 14:10:24
Cea mai mare medie dintr-o clasa dintr-un liceu, 2021/04/27 14:36:00
Informatii despre elevii dintr-un liceu, 2021/04/27 14:36:10
Cea mai mare medie dintr-o clasa dintr-un liceu, 2021/04/27 14:36:47
Cea mai mare medie dintr-un liceu, 2021/04/27 14:37:19
Cea mai mare medie dintr-o clasa dintr-un liceu, 2021/04/27 14:37:35
Informatii despre elevii dintr-un liceu, 2021/04/27 14:37:44
Afisare media unui liceu, 2021/05/09 17:12:15
Situatia unui elev, 2021/05/18 12:07:59
Informatii despre elevii dintr-un liceu, 2021/05/18 12:08:31
Informatii despre elevii dintr-un liceu, 2021/05/18 12:43:48
Afisare media unui liceu, 2021/05/18 12:45:11
Cea mai mare medie dintr-o clasa dintr-un liceu, 2021/05/18 12:45:22
Cea mai mare medie dintr-un liceu, 2021/05/18 12:45:33
Numarul total de absente ale unui elev, 2021/05/18 12:46:19
Top n cei mai buni elevi dintr-o clasa, 2021/05/18 12:46:36
Detalii despre o clasa, 2021/05/18 12:46:54
